Term [en-US],Description [en-US],Part of Speech [en-US],Term [zh-CN],Description [zh-CN],Part of Speech [zh-CN],Term [zh-TW],Description [zh-TW],Part of Speech [zh-TW]
Linear Polynomial,,,线性多项式,,,線性多項式,,
Linear Programming,Programación lineal,,线性规划问题,,,線性規劃問題,,
Linear Regression,,,线性回归,,,線性回歸,,
Linear System of Equations,,,线性系统的方程,,,線性系統的方程,,
Local Behavior,,,当地的行为,,,當地的行為,,
relative maximum,,,局部最大值,,,局部最大值,,
relative minimum,,,局部最小值,,,局部最小值,,
Locus,,,轨迹,,,軌跡,,
logarithm,,NOUN,对数,,,對數,,
Logarithm Rules,Reglas de los logaritmos,,对数规则,,,對數規則,,
Logarithmic Differentiation,,,对数的微分,,,對數的微分,,
Logistic Growth,,,对数型成长,,,對數型成長,,
Long Division of Polynomials,,,多项式的长除法,,,多項式的長除法,,
Lower Bound,,,下限,,,下限,,
Lower Quartile,,,下四分位数,,,下四分位數,,
LSRL,,,时间,,,時間,,
LUB,,,滑,,,滑,,
Magnitude,,,震级,,,震級,,
Magnitude of a Vector,,,一个向量的大小,,,一個向量的大小,,
Main Diagonal of a Matrix,,,一个矩阵的主对角线,,,一個矩陣的主對角線,,
Major Arc,,,主要弧,,,主要弧,,
Major Axis of a Hyperbola,,,长轴的双曲线,,,長軸的雙曲線,,
Major Axis of an Ellipse,,,椭圆的长轴,,,橢圓的長軸,,
Major Diameter of an Ellipse,,,大直径的椭圆,,,大直徑的橢圓,,
Mathematical Model,,,数学模型,,,數學模型,,
Matrix Addition,,,矩阵加法,,,矩陣加法,,
Matrix Element,,,矩阵元素,,,矩陣元素,,
Matrix Inverse,,,逆矩阵,,,逆矩陣,,
Matrix Multiplication,,,矩阵乘法,,,矩陣乘法,,
Matrix of Cofactors,,,矩阵的辅因数,,,矩陣的輔因數,,
Matrix Subtraction,,,矩阵减法,,,矩陣減法,,
Maximize,,,最大限度地,,,最大限度地,,
Maximum of a Function,,,最大值的函数,,,最大值的函數,,
Mean of a Random Variable,,,随机变数的均值,,,隨機變數的均值,,
mean value theorem,,,中值定理,,,中值定理,,
Mean Value Theorem for Integrals,,,积分中值定理,,,積分中值定理,,
Member of an Equation,,,方程的成员,,,方程的成員,,
Menelaus’s Theorem,,,墨涅拉奥斯的定理,,,墨涅拉奧斯的定理,,
Mensuration,,,测定,,,測定,,
center,,,中点,,,中點,,
Midpoint Formula,,,中点方程式,,,中點方程式,,
Min/Max Theorem,,,最小/最大定理,,,最小/最大定理,,
Minimize,,,减少,,,減少,,
Minimum of a Function,,,函数的最小值,,,函數的最小值,,
Minor Arc,,,小弧,,,小弧,,
Minor Axis of a Hyperbola,,,双曲线的短轴,,,雙曲線的短軸,,
Minor Axis of an Ellipse,,,椭圆的短轴,,,橢圓的短軸,,
Minor Diameter of an Ellipse,,,椭圆的小直径,,,橢圓的小直徑,,
Minute,,,分钟,,,分鐘,,
Mixed Number,,,混合数,,,混合數,,
Möbius Strip,,,莫比乌斯带,,,莫比烏斯帶,,
Modified Boxplot,,,修改后的箱线图,,,修改後的箱線圖,,
Modulus of a Complex Number,,,复数的模,,,複數的模,,
Modus Ponens,,,推理,,,推理,,
Modus Tolens,,,,,,,,
Moment,,,时刻,,,時刻,,
Monomial,,,单项,,,單項,,
Mu (Μ μ),,,,,,,,
Multiplication Rule,,,乘法法则,,,乘法法則,,
Multiplicative Inverse of a Matrix,,,乘法逆矩阵,,,乘法逆矩陣,,
Multiplicative Inverse of a Number,,,大量的乘法逆,,,大量的乘法逆,,
Multiplicative Property of Equality,,,乘性财产的平等,,,乘性財產的平等,,
Multiplicity,,,多重性,,,多重性,,
Multivariable Analysis,,,多变量分析,,,多變量分析,,
Multivariable Calculus,,,多变量微积分,,,多變量微積分,,
Mutually Exclusive,,,互斥,,,互斥,,
MVT,,,MVT,,,MVT,,
n Dimensions,,,n 维度,,,n 維度,,
n-Dimensional,,,n 维,,,n 維,,
n-gon,,,,,,,,
n-tuple,,,,,,,,
Natural Domain,,,自然的域,,,自然的域,,
Natural Logarithm,,,自然对数,,,自然對數,,
Natural Numbers,,,自然数,,,自然數,,
Negative Direction,,,负方向,,,負方向,,
Negative Exponents,,,负指数,,,負指數,,
Negative Number,,,负数,,,負數,,
Negative Reciprocal,,,负倒数,,,負倒數,,
Negatively Associated Data,,,负关联的资料,,,負關聯的資料,,
Neighborhood,,,邻域,,,鄰域,,
Newton's Method,,,牛顿反覆运算法,,,牛頓反覆運算法,,
No Slope,,,没有斜率,,,沒有斜率,,
Non-Adjacent,,,非相邻,,,非相鄰,,
Non-Convex,,,非凸,,,非凸,,
Non-Euclidean Geometry,,,非欧几里德几何,,,非歐幾裡德幾何,,
Non-Overlapping Sets,,,非重叠的集,,,非重疊的集,,
Nonagon,,,九角形,,,九角形,,
Noncollinear,,,非共线,,,非共線,,
Noninvertible Matrix,,,不可逆矩阵,,,不可逆矩陣,,
Nonnegative,,,非负,,,非負,,
Nonnegative Integers,,,非负整数,,,非負整數,,
Nonreal numbers,,,非正数,,,非正數,,
Nonsingular Matrix,,,非奇异矩阵,,,非奇異矩陣,,
Norm of a Partition,,,规范的一个分区,,,規範的一個分區,,
Norm of a Vector,,,向量的范数,,,向量的范數,,
Normalizing a Vector,,,正常化的向量,,,正常化的向量,,
nth Degree Taylor Polynomial,,,,,,,,
nth Derivative,,,,,,,,
nth Partial Sum,,,,,,,,
nth Root,,,,,,,,
nth Root Rules,,,,,,,,
Nu (Ν ν),,,Nu (Ν ν),,,Nu (Ν ν),,
Null Set,,,空集,,,空集,,
Numerator,,,分子,,,分子,,
Oblate Spheroid,,,扁球体,,,扁球體,,
Oblique,,,斜,,,斜,,
Oblique Asymptote,,,斜渐近线,,,斜漸近線,,
Oblique Cone,,,斜锥,,,斜錐,,
Oblique Cylinder,,,斜圆柱,,,斜圓柱,,
Oblique Prism,,,斜棱镜,,,斜棱鏡,,
Oblique Pyramid,,,斜金字塔,,,斜金字塔,,
Obtuse Angle,,,钝角,,,鈍角,,
Obtuse Triangle,,,钝角三角形,,,鈍角三角形,,
Octagon,,,八角形,,,八角形,,
Octahedron,,,八面体,,,八面體,,
Octants,,,卦角,,,卦角,,
Odd Function,,,奇函数,,,奇函數,,
Odd Number,,,奇数,,,奇數,,
Odd/Even Identities,,,单双号的身份,,,單雙號的身份,,
Odds,,,赔率,,,賠率,,
Odds Against,,,胜算,,,勝算,,
Odds in Favor,,,忙的赔率,,,忙的賠率,,
Odds in Gambling,,,在赌博赔率,,,在賭博賠率,,
Omega (Ω ω),,,欧米茄 (Ω ω),,,歐米茄 (Ω ω),,
Omicron (Ο ο),,,奥米克戎 (Ο 邻),,,奧米克戎 (Ο 鄰),,
One Dimension,,,一维,,,一維,,
One-Sided Limit,,,片面的限制,,,片面的限制,,
One-to-One Function,,,一对一的函数,,,一對一的函數,,
Open Interval,,,开区间,,,開區間,,
Operations on Functions,,,在功能上的操作,,,在功能上的操作,,
Opposite Reciprocal,,,对面倒数,,,對面倒數,,
Order of a Differential Equation,,,差分方程阶数,,,差分方程階數,,
Ordered Pair,,,序对,,,序對,,
Ordered Triple,,,有序三元组,,,有序三元組,,
Ordinal Numbers,,,序号,,,序號,,
Ordinary Differential Equation,,,常微分方程,,,常微分方程,,
Ordinate,,,纵座标,,,縱座標,,
Origin,,,起源,,,起源,,
Orthocenter,,,重心,,,重心,,
Orthogonal,,,正交,,,正交,,
Outcome,,,结果,,,結果,,
Outlier,,,离群值,,,離群值,,
Oval,,,椭圆形,,,橢圓形,,
Overdetermined System of Equations,,,超定的系统的方程,,,超定的系統的方程,,
p-series,,,,,,,,
Paired Data,,,配对的资料,,,配對的資料,,
Pappus’s Theorem,,,古尔丁定理,,,古爾丁定理,,
Parabola,,,抛物线,,,拋物線,,
Parallel Cross Sections,,,平行截面,,,平行截面,,
Parallel Lines,,,平行线,,,平行線,,
Parallel Planes,,,平行平面,,,平行平面,,
Parallel Postulate,,,平行的假设,,,平行的假設,,
Parallelepiped,,,平行六面体,,,平行六面體,,
Parameter (algebra),,,参数(代数),,,參數(代數),,
Parametric Derivative Formulas,,,参数的导数公式,,,參數的導數公式,,
Parametric Integral Formula,,,参数的积分公式,,,參數的積分公式,,
Parametrize,,,平行四边形,,,平行四邊形,,
Parent Functions,,,父函数,,,父函數,,
Parentheses,,,括弧,,,括弧,,
Partial Fractions,,,部分分式,,,部分分式,,
Partition of a Set,,,一套的分区,,,一套的分區,,
Partition of an Interval,,,分区的时间间隔,,,分區的時間間隔,,
Pascal's Triangle,,,Bucchero,,,Bucchero,,
Pentagon,,,,,,,,
Per Annum,,,每年,,,每年,,
Percentile,,,百分位数,,,百分位數,,
Perfect Number,,,完美的数,,,完美的數,,
perfect square,,,完美的正方形,,,完美的正方形,,
Perimeter,,,周长,,,周長,,
Period of a Periodic Function,,,一个週期函数的週期,,,一個週期函數的週期,,
Period of Periodic Motion,,,定期运动週期,,,定期運動週期,,
Periodic Function,,,週期函数,,,週期函數,,
Periodic Motion,,,定期运动,,,定期運動,,
Periodicity Identities,,,週期性的身份,,,週期性的身份,,
Permutation,,,置换,,,置換,,
Permutation Formula,,,置换公式,,,置換公式,,
Perpendicular Bisector,,,垂直平分线,,,垂直平分線,,
Phase Shift,,,相移,,,相移,,
Phi (Φ φ),,,Phi (Φ φ),,,Phi (Φ φ),,
Pi (Π π),,,圆周率 (Π π),,,圓周率 (Π π),,
Piecewise Continuous Function,,,分段连续函数,,,分段連續函數,,
Piecewise Function,,,分段函数,,,分段函數,,
Pinching Theorem,,,刚性定理,,,剛性定理,,
Plane Figure,,,平面图形,,,平面圖形,,
Plane Geometry,,,平面几何,,,平面幾何,,
Platonic Solids,,,柏拉图式固体,,,柏拉圖式固體,,
Polar Axis,,,极性轴,,,極性軸,,
Polar Conversion Formulas,,,极性转换公式,,,極性轉換公式,,
Polar Curves,,,极地的曲线,,,極地的曲線,,
Polar Derivative Formulas,,,极地的导数公式,,,極地的導數公式,,
Polar Equation,,,极座标方程,,,極座標方程,,
Polar Form of a Complex Number,,,极座标形式的复数,,,極座標形式的複數,,
Polar Integral Formula,,,极性的积分公式,,,極性的積分公式,,
Polar-Rectangular Conversion Formulas,,,极性矩形换算公式,,,極性矩形換算公式,,
Polygon,,,多边形,,,多邊形,,
Polygon Interior,,,多边形内部,,,多邊形內部,,
Polyhedron,,,多面体,,,多面體,,
Polynomial,,,多项式,,,多項式,,
Polynomial Facts,,,多项式的事实,,,多項式的事實,,
Polynomial Long Division,,,多项式长除法,,,多項式長除法,,
Positive Direction,,,正方向,,,正方向,,
Positive Number,,,正数,,,正數,,
Positive Series,,,正项级数,,,正項級數,,
Positively Associated Data,,,呈正相关的资料,,,呈正相關的資料,,
Postulate,,,假设,,,假設,,
Power Rule,,,乗幂法则,,,乗冪法則,,
Power Series,.,,幂级数,,,冪級數,,
Power Series Convergence,,,幂级数的收敛性,,,冪級數的收斂性,,
Pre-Image of a Transformation,,,转型前映射,,,轉型前映射,,
prime factorization,,,素数因数分解,,,素數因數分解,,
Prime Number,,,质数,,,質數,,
Principal,,,规则,,,規則,,
Probability,,,概率,,,概率,,
Product; dot product; vector product,,,产品,,,產品,,
Product Rule,,,产品规则,,,產品規則,,
Product to Sum Identities,,,产品总和恒等式,,,產品總和恒等式,,
Projectile Motion,,,抛体运动,,,拋體運動,,
Prolate Spheroid,,,椭球体,,,橢球體,,
Proof by Contradiction,,,证明由矛盾,,,證明由矛盾,,
Proper Rational Expression,,,正确的理性表达,,,正確的理性表達,,
Proper Subset,,,真子集,,,真子集,,
Properties of Equality,,,平等的性质,,,平等的性質,,
Proportional,,,比例,,,比例,,
Psi (Ψ ψ),,,Psi (Ψ ψ),,,Psi (Ψ ψ),,
Pure Imaginary Numbers,,,纯虚数,,,純虛數,,
Pythagorean Identities,,,毕达哥拉恒等式,,,畢達哥拉恒等式,,
According to the Pythagorean Theorem,.,,毕氏定理,,,畢氏定理,,
Pythagorean Triple,,,毕三,,,畢三,,
Q1,,,Q1,,,Q1,,
Q3,,,Q3,,,Q3,,
QED,,,量子电动力学,,,量子電動力學,,
quadrilateral,,,四合院,,,四合院,,
Quadrantal Angle,,,象限角,,,象限角,,
Quadrants,,,象限,,,象限,,
Quadratic,,,二次,,,二次,,
Quadratic Equation,,,二次方程式,,,二次方程式,,
Quadratic Formula,,,二次公式,,,二次公式,,
Quadratic Polynomial,,,二次多项式,,,二次多項式,,
Quadrilateral,,,四边形,,,四邊形,,
Quadruple,,,四倍,,,四倍,,
Quartic Polynomial,,,四次多项式,,,四次多項式,,
Quartiles,,,四分位数,,,四分位數,,
Quintic Polynomial,,,五次多项式,,,五次多項式,,
Quintiles,,,昆泰公司,,,昆泰公司,,
Quintuple,,,,,,,,
common ratio,,,商,,,商,,
Quotient Rule,,,除法法则,,,除法法則,,
Radian,,,弧度,,,弧度,,
Radical,,,激进,,,激進,,
Radical Rules,,,激进的规则,,,激進的規則,,
Radicand,,,舞弊,,,舞弊,,
Ratio Identities,,,比恒等式,,,比恒等式,,
Ratio Test,,,比试验,,,比試驗,,
Rational Equation,,,有理方程式,,,有理方程式,,
Rational Exponents,,,理性指数,,,理性指數,,
Rational Expression,,,有理式,,,有理式,,
Rational Function,,,有理函数,,,有理函數,,
rational,,,有理数,,,有理數,,
Rational Root Theorem,,,有理根定理,,,有理根定理,,
Rational Zero Theorem,,,理性零定理,,,理性零定理,,
Rationalizing Substitutions,,,合理化建议的替换,,,合理化建議的替換,,
Rationalizing the Denominator,,,合理化的分母,,,合理化的分母,,
Ray,,,射线,,,射線,,
Real Numbers,,,实数,,,實數,,
Real Part,,,实部分,,,實部分,,
Reciprocal,,,倒,,,倒,,
Reciprocal Identities,,,倒数,,,倒數,,
Reciprocal Rule,,,交互规则,,,交互規則,,
Rectangular Coordinates,,,直角坐标系,,,直角坐標系,,
Rectangular Form,,,矩形,,,矩形,,
Rectangular Parallelepiped,,,长方体,,,長方體,,
Reference Angle,,,参考角度,,,參考角度,,
Reflection,,,反射,,,反射,,
Reflexive Property,,,自反属性,,,自反屬性,,
Regression,,,回归,,,回歸,,
Regression Equation,,,回归方程,,,回歸方程,,
Regression Line,,,回归直线,,,回歸直線,,
Regular Dodecahedron,,,正十二面体,,,正十二面體,,
Regular Hexahedron,,,规则六面体,,,規則六面體,,
Regular Icosahedron,,,正二十面体,,,正二十面體,,
Regular Octahedron,,,正八面体,,,正八面體,,
Regular Polyhedra,,,週期性多面体,,,週期性多面體,,
Regular Prism,,,週期性棱镜,,,週期性棱鏡,,
Regular Pyramid,,,週期性金字塔,,,週期性金字塔,,
rectangular prisms,,,定期对棱镜,,,定期對棱鏡,,
Regular Right Pyramid,,,定期对金字塔,,,定期對金字塔,,
Regular Tetrahedron,,,补通四面体,,,補通四面體,,
Related Rates,,,有关的费率,,,有關的費率,,
relationships,,,关系,,,關係,,
Relative Maximum,,,相对最大,,,相對最大,,
Relative Minimum,,,相对最小的点,,,相對最小的點,,
Relatively Prime,,,,,,,,
Remainder,,,余,,,餘,,
Remainder of a Series,,,一系列的其余部分,,,一系列的其餘部分,,
Remainder Theorem,,,余数定理,,,餘數定理,,
Removable Discontinuity,,,可移动的不连续性,,,可移動的不連續性,,
Residual,,,残差,,,殘差,,
Restricted Domain,,,受限的域,,,受限的域,,
Restricted Function,,,受限制的函数,,,受限制的函數,,
Rho (Ρ ρ),,,Rho (Ρ ρ),,,Rho (Ρ ρ),,
Riemann Sum,,,黎曼和,,,黎曼和,,
Riemannian Geometry,,,黎曼几何,,,黎曼幾何,,
Right Angle,,,直角,,,直角,,
Right Circular Cone,,,直圆锥面,,,直圓錐面,,
Right Circular Cylinder,,,对圆柱,,,對圓柱,,
Right Cone,,,正锥,,,正錐,,
Right Cylinder,,,正圆柱,,,正圓柱,,
Right Prism,,,正菱角体,,,正菱角體,,
Right Pyramid,,,正金字塔,,,正金字塔,,
Right Regular Prism,,,正规棱镜,,,正規棱鏡,,
Right Regular Pyramid,,,正规的金字塔,,,正規的金字塔,,
Right Square Prism,,,权利广场棱镜,,,權利廣場棱鏡,,
right triangle,,,直角三角形,,,直角三角形,,
RMS,,,,,,,,
Rolle's Theorem,,,罗尔定理,,,羅爾定理,,
Root Mean Square,,,均方根,,,均方根,,
Root of a Number,,,直数的根,,,直數的根,,
Root of an Equation,,,方程的根,,,方程的根,,
Root Rules,,,根规则,,,根規則,,
Root Test,,,根测试,,,根測試,,
Rose Curve,,,玫瑰曲线,,,玫瑰曲線,,
Rotation,,,,,,,,
Rounding a Number,,,将数位四捨五入,,,將數位四捨五入,,
Row of a Matrix,,,矩阵的行,,,矩陣的行,,
Row Operations,,,行操作,,,行操作,,
Row Reduction,,,减少行数,,,減少行數,,
Row-Echelon Form of a Matrix,,,矩阵的行梯队形式,,,矩陣的行梯隊形式,,
RPM,,,,,,,,
Sample Space,,,样本空间,,,樣本空間,,
Sandwich Theorem,,,三明治定理,,,三明治定理,,
Scalar,,,标量积,,,標量積,,
Scalene Triangle,,,不等边直角三角形,,,不等邊直角三角形,,
Scatterplot,,,散佈图,,,散佈圖,,
scientific notation,,,科学记号,,,科學記號,,
Secant (Trig Function),,,Secant (三角函数方程式),,,Secant (三角函數方程式),,
Secant Line,,,割线,,,割線,,
Second Derivative,,,二阶导数,,,二階導數,,
Second Derivative Test,,,二阶导数测试,,,二階導數測試,,
Second Order Critical Point,,,第二次关键点,,,第二次關鍵點,,
Second Order Differential Equation,,,二阶微分方程,,,二階微分方程,,
Self-Similarity,,,自相似性,,,自相似性,,
Semicircle,,,半圆,,,半圓,,
Semiperimeter,,,边长,,,邊長,,
Separable Differential Equation,,,可分离的微分方程,,,可分離的微分方程,,
Sequence of Partial Sums,,,序列的部分款项,,,序列的部分款項,,
Series Rules,,,系列规则,,,系列規則,,
Set Braces,,,设置大括弧,,,設置大括弧,,
Set Complement,,,,,,,,
Set Intersection,,,,,,,,
Set Subtraction,,,,,,,,
Set Union,,,设置联盟,,,設置聯盟,,
Set-Builder Notation,,,,,,,,
Shell Method,,,,,,,,
Side of a Polygon,,,多边形的边,,,多邊形的邊,,
Side of an Angle,,,角一侧,,,角一側,,
Side of an Equation,,,等式的一面,,,等式的一面,,
Sigma (Σ σ),,,西格玛 （Σ σ),,,西格瑪 （Σ σ),,
Sigma Notation,,,西格玛符号,,,西格瑪符號,,
significant figures,,,位数,,,位數,,
Similarity Tests for Triangles,,,三角形相似试验,,,三角形相似試驗,,
Simple Closed Curve,,,简单闭曲线,,,簡單閉曲線,,
Simple Harmonic Motion (SHM),,,简谐运动 （SHM）,,,簡諧運動 （SHM）,,
Simple Interest,,,简单的利益,,,簡單的利益,,
Simplify,,,简化,,,簡化,,
Simpson's Rule,,,辛普森的规则,,,辛普森的規則,,
